"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Previous ID(s)","Chromosome","Ortholog count","Ortholog Group","Paralog count","# Exons in Gene","# Exons in Transcript","# Transcripts","Annotated 3' UTR length","Annotated 5' UTR length","Transcript Length"
"PCHAS_1017000","PCHAS_1017000.1","P. chabaudi chabaudi","PCHAS_10_v3:679,055..685,420(-)","protein kinase, putative","Previous IDs: PC000252.04.0;PC001269.02.0;PCAS_101600;PCHAS_101700","10","50","OG5_163505","0","5","5","1","null","null","5886"
"PCHAS_1017100","PCHAS_1017100.1","P. chabaudi chabaudi","PCHAS_10_v3:688,391..689,730(+)","proliferation-associated protein 2g4, putative","Previous IDs: PCAS_101610;PCHAS_101710","10","43","OG5_128136","0","2","2","1","null","null","1134"
"PCHAS_1017200","PCHAS_1017200.1","P. chabaudi chabaudi","PCHAS_10_v3:690,041..692,011(-)","major facilitator superfamily domain-containing protein, putative","Previous IDs: PCAS_101620;PCHAS_101720","10","44","OG5_141655","0","1","1","1","null","null","1971"
"PCHAS_1017300","PCHAS_1017300.1","P. chabaudi chabaudi","PCHAS_10_v3:693,564..695,309(+)","WW domain-binding protein 11, putative","Previous IDs: PC000960.02.0;PC300166.00.0;PCAS_101630;PCHAS_101730","10","44","OG5_164280","0","1","1","1","null","null","1746"
"PCHAS_1017400","PCHAS_1017400.1","P. chabaudi chabaudi","PCHAS_10_v3:695,581..697,465(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC104734.00.0;PCAS_101640;PCHAS_101740","10","43","OG5_171683","0","7","7","1","null","null","1239"
"PCHAS_1017500","PCHAS_1017500.1","P. chabaudi chabaudi","PCHAS_10_v3:698,866..699,699(-)","leucine-rich repeat protein","Previous IDs: PCAS_101650;PCHAS_101750","10","44","OG5_128510","0","1","1","1","null","null","834"
"PCHAS_1017600","PCHAS_1017600.1","P. chabaudi chabaudi","PCHAS_10_v3:702,793..703,533(+)","exosome complex component RRP41, putative","Previous IDs: PC300528.00.0;PCAS_101660;PCHAS_101760","10","45","OG5_127234","0","1","1","1","null","null","741"
"PCHAS_1017700","PCHAS_1017700.1","P. chabaudi chabaudi","PCHAS_10_v3:704,422..704,613(+)","conserved Plasmodium protein, unknown function","Previous IDs: PCAS_101670;PCHAS_101770","10","36","OG5_205391","0","1","1","1","null","null","192"
"PCHAS_1017800","PCHAS_1017800.1","P. chabaudi chabaudi","PCHAS_10_v3:705,123..706,562(-)","CorA-like Mg2+ transporter protein, putative","Previous IDs: PC000192.05.0;PCAS_101680;PCHAS_101780","10","88","OG5_127894","1","1","1","1","null","null","1440"
"PCHAS_1017900","PCHAS_1017900.1","P. chabaudi chabaudi","PCHAS_10_v3:707,964..710,399(-)","DNA mismatch repair protein MSH2, putative","Previous IDs: PC301346.00.0;PCAS_101690;PCHAS_101790","10","90","OG5_127538","1","1","1","1","null","null","2436"
"PCHAS_1018000","PCHAS_1018000.1","P. chabaudi chabaudi","PCHAS_10_v3:712,229..714,509(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC300033.00.0;PC400495.00.0;PCAS_101700;PCHAS_101800","10","46","OG5_162085","0","6","6","1","null","null","1581"
"PCHAS_1018100","PCHAS_1018100.1","P. chabaudi chabaudi","PCHAS_10_v3:720,216..725,266(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC301488.00.0;PCAS_101710;PCHAS_101810","10","44","OG5_165244","0","7","7","1","null","null","4383"
"PCHAS_1018200","PCHAS_1018200.1","P. chabaudi chabaudi","PCHAS_10_v3:726,690..727,179(-)","selenoprotein, putative","Previous IDs: PCAS_101720;PCHAS_101820","10","45","OG5_167236","0","2","2","1","null","null","408"
"PCHAS_1018300","PCHAS_1018300.1","P. chabaudi chabaudi","PCHAS_10_v3:728,237..731,353(-)","lipase, putative","Previous IDs: PC000146.05.0;PC000480.03.0;PC300698.00.0;PC301937.00.0;PCAS_101730;PCHAS_101830","10","44","OG5_160704","0","1","1","1","null","null","3117"
"PCHAS_1018400","PCHAS_1018400.1","P. chabaudi chabaudi","PCHAS_10_v3:732,229..735,528(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC301442.00.0;PC301655.00.0;PC302034.00.0;PC403999.00.0;PCAS_101740;PCHAS_101840","10","44","OG5_166182","0","1","1","1","null","null","3300"
"PCHAS_1018500","PCHAS_1018500.1","P. chabaudi chabaudi","PCHAS_10_v3:736,549..736,815(+)","cytochrome b-c1 complex subunit 6, putative","Previous IDs: PC000046.05.0;PCAS_101750;PCHAS_101850","10","43","OG5_128457","0","1","1","1","null","null","267"
"PCHAS_1018600","PCHAS_1018600.1","P. chabaudi chabaudi","PCHAS_10_v3:737,407..743,096(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000013.03.0;PC000045.05.0;PC000277.05.0;PC000555.00.0;PC000716.01.0;PC300748.00.0;PCAS_101760;PCHAS_101860","10","48","OG5_167237","0","2","2","1","null","null","5526"
"PCHAS_1018700","PCHAS_1018700.1","P. chabaudi chabaudi","PCHAS_10_v3:746,244..749,594(+)","phosphoenolpyruvate carboxylase, putative","Previous IDs: PC000344.02.0;PC300017.00.0;PCAS_101770;PCHAS_101870","10","44","OG5_130145","0","1","1","1","null","null","3351"
"PCHAS_1018800","PCHAS_1018800.1","P. chabaudi chabaudi","PCHAS_10_v3:750,236..754,372(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000013.02.0;PC103817.00.0;PC405547.00.0;PCAS_101780;PCHAS_101880","10","47","OG5_168404","0","1","1","1","null","null","4137"
"PCHAS_1018900","PCHAS_1018900.1","P. chabaudi chabaudi","PCHAS_10_v3:755,208..757,169(+)","ABC transporter G family member 2, putative","Previous IDs: PC000011.02.0;PC301921.00.0;PCAS_101790;PCHAS_101890","10","40","OG5_126574","0","1","1","1","null","null","1962"
"PCHAS_1019000","PCHAS_1019000.1","P. chabaudi chabaudi","PCHAS_10_v3:757,746..758,570(+)","MORN repeat protein, putative","Previous IDs: PCAS_101800;PCHAS_101900","10","33","OG5_133371","0","3","3","1","null","null","447"
"PCHAS_1019100","PCHAS_1019100.1","P. chabaudi chabaudi","PCHAS_10_v3:758,910..760,664(+)","dynein intermediate chain, putative","Previous IDs: PCAS_101810;PCHAS_101910","10","53","OG5_130116","0","1","1","1","null","null","1755"
"PCHAS_1019200","PCHAS_1019200.1","P. chabaudi chabaudi","PCHAS_10_v3:762,007..763,188(+)","protein arginine N-methyltransferase 1, putative","Previous IDs: PC000012.02.0;PC301585.00.0;PC302421.00.0;PCAS_101820;PCHAS_101920","10","46","OG5_127422","0","1","1","1","null","null","1182"
"PCHAS_1019300","PCHAS_1019300.1","P. chabaudi chabaudi","PCHAS_10_v3:765,052..765,579(+)","transcription factor BTF3, putative","Previous IDs: PC000057.01.0;PCAS_101830;PCHAS_101930","10","44","OG5_127333","0","1","1","1","null","null","528"
"PCHAS_1019400","PCHAS_1019400.1","P. chabaudi chabaudi","PCHAS_10_v3:767,033..767,518(+)","60S ribosomal protein L21, putative","Previous IDs: PCAS_101840;PCHAS_101940","10","44","OG5_126766","0","1","1","1","null","null","486"
"PCHAS_1019500","PCHAS_1019500.1","P. chabaudi chabaudi","PCHAS_10_v3:768,795..770,280(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000121.01.0;PC302570.00.0;PCAS_101850;PCHAS_101950","10","43","OG5_153244","0","4","4","1","null","null","1092"
"PCHAS_1019600","PCHAS_1019600.1","P. chabaudi chabaudi","PCHAS_10_v3:770,735..772,723(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000044.02.0;PC000045.02.0;PCAS_101860;PCHAS_101960","10","7","OG5_205392","0","1","1","1","null","null","1989"
"PCHAS_1019700","PCHAS_1019700.1","P. chabaudi chabaudi","PCHAS_10_v3:773,465..774,733(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000043.02.0;PCAS_101870;PCHAS_101970","10","43","OG5_150760","0","5","5","1","null","null","945"
"PCHAS_1019800","PCHAS_1019800.1","P. chabaudi chabaudi","PCHAS_10_v3:775,641..776,299(-)","conserved Plasmodium protein, unknown function","Previous IDs: PCAS_101880;PCHAS_101980","10","43","OG5_142143","0","2","2","1","null","null","483"
"PCHAS_1019900","PCHAS_1019900.1","P. chabaudi chabaudi","PCHAS_10_v3:777,045..780,014(-)","DEAD/DEAH box helicase, putative","Previous IDs: PC000158.04.0;PC300409.00.0;PCAS_101890;PCHAS_101990","10","45","OG5_159096","0","1","1","1","null","null","2970"
"PCHAS_1020000","PCHAS_1020000.1","P. chabaudi chabaudi","PCHAS_10_v3:780,889..782,906(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000472.00.0;PCAS_101900;PCHAS_102000","10","44","OG5_167238","0","7","7","1","null","null","915"
"PCHAS_1020100","PCHAS_1020100.1","P. chabaudi chabaudi","PCHAS_10_v3:783,451..784,686(+)","enoyl-CoA hydratase, putative","Previous IDs: PC000471.00.0;PCAS_101910;PCHAS_102010","10","44","OG5_159010","0","1","1","1","null","null","1236"
"PCHAS_1020110","PCHAS_1020110.1","P. chabaudi chabaudi","PCHAS_10_v3:784,830..784,975(-)","small nucleolar RNA snoR31","null","10","0","PCHAS_1020110","0","1","1","1","null","null","146"
"PCHAS_1020120","PCHAS_1020120.1","P. chabaudi chabaudi","PCHAS_10_v3:785,129..785,392(-)","unspecified product","null","10","0","PCHAS_1020120","0","1","1","1","null","null","264"
"PCHAS_1020130","PCHAS_1020130.1","P. chabaudi chabaudi","PCHAS_10_v3:785,572..785,650(-)","small nucleolar RNA snoR30","null","10","0","PCHAS_1020130","0","1","1","1","null","null","79"
"PCHAS_1020140","PCHAS_1020140.1","P. chabaudi chabaudi","PCHAS_10_v3:786,186..786,268(-)","small nucleolar RNA snoR29","null","10","0","PCHAS_1020140","0","1","1","1","null","null","83"
"PCHAS_1020180","PCHAS_1020180.1","P. chabaudi chabaudi","PCHAS_10_v3:787,592..787,669(-)","small nucleolar RNA snoR28","null","10","0","PCHAS_1020180","0","1","1","1","null","null","78"
"PCHAS_1020190","PCHAS_1020190.1","P. chabaudi chabaudi","PCHAS_10_v3:787,844..787,990(-)","small nucleolar RNA snoR27","null","10","0","PCHAS_1020190","0","1","1","1","null","null","147"
"PCHAS_1020200","PCHAS_1020200.1","P. chabaudi chabaudi","PCHAS_10_v3:788,107..789,364(-)","60S ribosomal protein L7-3, putative","Previous IDs: PC000273.00.0;PC000974.01.0;PCAS_101920;PCHAS_102020","10","44","OG5_126938","0","3","3","1","null","null","855"
"PCHAS_1020300","PCHAS_1020300.1","P. chabaudi chabaudi","PCHAS_10_v3:790,975..792,548(+)","60S ribosomal protein L5, putative","Previous IDs: PC000973.01.0;PC301377.00.0;PCAS_101930;PCHAS_102030","10","44","OG5_127090","0","3","3","1","null","null","882"
"PCHAS_1020310","PCHAS_1020310.1","P. chabaudi chabaudi","PCHAS_10_v3:791,208..791,368(+)","small nucleolar RNA snoR26","null","10","0","PCHAS_1020310","0","1","1","1","null","null","161"
"PCHAS_1020320","PCHAS_1020320.1","P. chabaudi chabaudi","PCHAS_10_v3:792,311..792,379(+)","small nucleolar RNA snoR25","Previous IDs: PCHAS_102032","10","0","PCHAS_1020320","0","1","1","1","null","null","69"
"PCHAS_1020330","PCHAS_1020330.1","P. chabaudi chabaudi","PCHAS_10_v3:793,074..793,150(+)","small nucleolar RNA snoR24","null","10","0","PCHAS_1020330","0","1","1","1","null","null","77"
"PCHAS_1020340","PCHAS_1020340.1","P. chabaudi chabaudi","PCHAS_10_v3:793,332..793,413(+)","small nucleolar RNA snoR23","Previous IDs: PCHAS_102034","10","0","PCHAS_1020340","0","1","1","1","null","null","82"
"PCHAS_1020400","PCHAS_1020400.1","P. chabaudi chabaudi","PCHAS_10_v3:793,992..798,404(-)","vacuolar protein sorting-associated protein 3, putative","Previous IDs: PC000529.01.0;PC000703.02.0;PC300222.00.0;PC300747.00.0;PCAS_101940;PCHAS_102040","10","47","OG5_157160","0","3","3","1","null","null","4032"
"PCHAS_1020500","PCHAS_1020500.1","P. chabaudi chabaudi","PCHAS_10_v3:801,295..804,741(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000275.03.0;PC000784.03.0;PC001182.02.0;PC108204.00.0;PC301129.00.0;PC302361.00.0;PCAS_101950;PCHAS_102050","10","44","OG5_165919","0","1","1","1","null","null","3447"
"PCHAS_1020600","PCHAS_1020600.1","P. chabaudi chabaudi","PCHAS_10_v3:805,592..807,479(-)","calcium-dependent protein kinase, putative","Previous IDs: PC000274.03.0;PCAS_101960;PCHAS_102060","10","46","OG5_142653","0","9","9","1","null","null","855"
"PCHAS_1020700","PCHAS_1020700.1","P. chabaudi chabaudi","PCHAS_10_v3:810,084..813,848(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC106508.00.0;PC109329.00.0;PCAS_101970;PCHAS_102070","10","6","OG5_205393","0","2","2","1","null","null","3612"
"PCHAS_1020800","PCHAS_1020800.1","P. chabaudi chabaudi","PCHAS_10_v3:813,998..818,263(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC100919.00.0;PC103518.00.0;PC402333.00.0;PC402754.00.0;PCAS_101980;PCHAS_102080","10","44","OG5_161518","0","4","4","1","null","null","3918"
"PCHAS_1020900","PCHAS_1020900.1","P. chabaudi chabaudi","PCHAS_10_v3:818,618..823,094(-)","serine/threonine protein phosphatase 7, putative","Previous IDs: PC000121.02.0;PC301660.00.0;PCAS_101990;PCHAS_102090","10","49","OG5_134377","0","16","16","1","null","null","2865"
"PCHAS_1021000","PCHAS_1021000.1","P. chabaudi chabaudi","PCHAS_10_v3:823,862..826,414(-)","peptidyl-prolyl cis-trans isomerase, putative","Previous IDs: PC000124.02.0;PC300573.00.0;PC405244.00.0;PCAS_102000;PCHAS_102100","10","44","OG5_129157","0","8","8","1","null","null","1584"
"PCHAS_1021100","PCHAS_1021100.1","P. chabaudi chabaudi","PCHAS_10_v3:827,056..828,744(-)","ankyrin-repeat protein, putative","Previous IDs: PC000123.02.0;PC301255.00.0;PCAS_102010;PCHAS_102110","10","41","OG5_126566","0","1","1","1","null","null","1689"
"PCHAS_1021200","PCHAS_1021200.1","P. chabaudi chabaudi","PCHAS_10_v3:831,353..832,924(+)","nucleolar GTP-binding protein 2, putative","Previous IDs: PC000122.02.0;PC301957.00.0;PCAS_102020;PCHAS_102120","10","44","OG5_127573","0","1","1","1","null","null","1572"
"PCHAS_1021300","PCHAS_1021300.1","P. chabaudi chabaudi","PCHAS_10_v3:833,456..835,093(-)","14-3-3 protein, putative","Previous IDs: PC000090.02.0;PC300194.00.0;PCAS_102030;PCHAS_102130","10","44","OG5_167239","0","1","1","1","null","null","1638"
"PCHAS_1021400","PCHAS_1021400.1","P. chabaudi chabaudi","PCHAS_10_v3:836,867..838,324(+)","actin-related protein, putative","Previous IDs: PC000444.02.0;PCAS_102040;PCHAS_102140","10","44","OG5_128301","0","1","1","1","null","null","1458"
"PCHAS_1021500","PCHAS_1021500.1","P. chabaudi chabaudi","PCHAS_10_v3:839,092..842,013(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000445.02.0;PC001179.02.0;PC300499.00.0;PC302066.00.0;PC302480.00.0;PCAS_102050;PCHAS_102150","10","44","OG5_167240","0","1","1","1","null","null","2922"
"PCHAS_1021600","PCHAS_1021600.1","P. chabaudi chabaudi","PCHAS_10_v3:843,441..844,856(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000097.01.0;PC101786.00.0;PC300500.00.0;PC301134.00.0;PCAS_102060;PCHAS_102160","10","44","OG5_167241","0","1","1","1","null","null","1416"
"PCHAS_1021700","PCHAS_1021700.1","P. chabaudi chabaudi","PCHAS_10_v3:845,991..847,917(-)","ERAD-associated E3 ubiquitin-protein ligase HRD1, putative","Previous IDs: PC000098.01.0;PC000644.02.0;PC000714.01.0;PCAS_102070;PCHAS_102170","10","47","OG5_128080","0","4","4","1","null","null","1539"
"PCHAS_1021800","PCHAS_1021800.1","P. chabaudi chabaudi","PCHAS_10_v3:848,886..853,055(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000252.00.0;PC000362.00.0;PC000643.02.0;PC300831.00.0;PCAS_102080;PCHAS_102180","10","44","OG5_165490","0","1","1","1","null","null","4170"
"PCHAS_1021900","PCHAS_1021900.1","P. chabaudi chabaudi","PCHAS_10_v3:854,378..855,349(+)","DnaJ protein, putative","Previous IDs: PC000161.04.0;PCAS_102090;PCHAS_102190","10","44","OG5_165890","0","1","1","1","null","null","972"
"PCHAS_1022000","PCHAS_1022000.1","P. chabaudi chabaudi","PCHAS_10_v3:856,856..857,794(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000367.01.0;PC107779.00.0;PCAS_102100;PCHAS_102200","10","42","OG5_167242","0","1","1","1","null","null","939"
"PCHAS_1022100","PCHAS_1022100.1","P. chabaudi chabaudi","PCHAS_10_v3:858,953..860,008(+)","mitochondrial ribosomal protein L21 precursor, putative","Previous IDs: PC000366.01.0;PC300147.00.0;PCAS_102110;PCHAS_102210","10","88","OG5_127445","1","1","1","1","null","null","1056"
"PCHAS_1022200","PCHAS_1022200.1","P. chabaudi chabaudi","PCHAS_10_v3:860,605..861,271(+)","cytochrome c oxidase assembly protein COX14, putative","Previous IDs: PCAS_102120;PCHAS_102220","10","42","OG5_158074","0","3","3","1","null","null","282"
"PCHAS_1022300","PCHAS_1022300.1","P. chabaudi chabaudi","PCHAS_10_v3:861,444..861,938(+)","copper transporter, putative","Previous IDs: PC000821.03.0;PCAS_102130;PCHAS_102230","10","44","OG5_157131","0","1","1","1","null","null","495"
"PCHAS_1022400","PCHAS_1022400.1","P. chabaudi chabaudi","PCHAS_10_v3:862,425..863,648(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC107048.00.0;PCAS_102140;PCHAS_102240","10","5","OG5_205394","0","1","1","1","null","null","1224"
"PCHAS_1022500","PCHAS_1022500.1","P. chabaudi chabaudi","PCHAS_10_v3:864,279..866,688(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000184.01.0;PC000820.03.0;PCAS_102150;PCHAS_102250","10","44","OG5_165489","0","4","4","1","null","null","2079"
"PCHAS_1022600","PCHAS_1022600.1","P. chabaudi chabaudi","PCHAS_10_v3:866,810..867,348(-)","mitochondrial import inner membrane translocase subunit TIM8, putative","Previous IDs: PC301470.00.0;PCAS_102160;PCHAS_102260","10","42","OG5_144253","0","3","3","1","null","null","303"
"PCHAS_1022700","PCHAS_1022700.1","P. chabaudi chabaudi","PCHAS_10_v3:868,000..869,546(+)","DNA-directed RNA polymerase III subunit RPC6, putative","Previous IDs: PC300000.00.0;PCAS_102170;PCHAS_102270","10","44","OG5_128634","0","6","6","1","null","null","864"
"PCHAS_1022800","PCHAS_1022800.1","P. chabaudi chabaudi","PCHAS_10_v3:871,256..871,836(+)","40S ribosomal protein S25, putative","Previous IDs: PCAS_102180;PCHAS_102280","10","24","OG5_126998","0","3","3","1","null","null","318"
"PCHAS_1022900","PCHAS_1022900.1","P. chabaudi chabaudi","PCHAS_10_v3:872,650..875,337(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000465.02.0;PCAS_102190;PCHAS_102290","10","44","OG5_165895","0","1","1","1","null","null","2688"
"PCHAS_1023000","PCHAS_1023000.1","P. chabaudi chabaudi","PCHAS_10_v3:876,849..877,844(+)","DIX domain-containing protein, putative","Previous IDs: PC000467.02.0;PCAS_102200;PCHAS_102300","10","44","OG5_140617","0","4","4","1","null","null","525"
"PCHAS_1023100","PCHAS_1023100.1","P. chabaudi chabaudi","PCHAS_10_v3:878,571..879,961(+)","mannose-1-phosphate guanyltransferase, putative","Previous IDs: PC000363.02.0;PC000466.02.0;PCAS_102210;PCHAS_102310","10","44","OG5_127109","0","2","2","1","null","null","1278"
"PCHAS_1023200","PCHAS_1023200.1","P. chabaudi chabaudi","PCHAS_10_v3:880,368..881,531(+)","dynein light chain, putative","Previous IDs: PC000364.02.0;PCAS_102220;PCHAS_102320","10","43","OG5_164202","0","4","4","1","null","null","765"
"PCHAS_1023300","PCHAS_1023300.1","P. chabaudi chabaudi","PCHAS_10_v3:881,732..884,210(-)","surface protein P113, putative","Previous IDs: PC000379.04.0;PC300154.00.0;PCAS_102230;PCHAS_102330","10","44","OG5_167243","0","2","2","1","null","null","2364"
"PCHAS_1023400","PCHAS_1023400.1","P. chabaudi chabaudi","PCHAS_10_v3:886,672..888,706(+)","pantothenate kinase 1, putative","Previous IDs: PC000326.00.0;PC300595.00.0;PCAS_102240;PCHAS_102340","10","44","OG5_126914","0","3","3","1","null","null","1620"
"PCHAS_1023500","PCHAS_1023500.1","P. chabaudi chabaudi","PCHAS_10_v3:889,678..892,437(+)","protein GPR89, putative","Previous IDs: PC000809.04.0;PC300049.00.0;PC300455.00.0;PCAS_102250;PCHAS_102350","10","45","OG5_166119","0","1","1","1","null","null","2760"
"PCHAS_1023600","PCHAS_1023600.1","P. chabaudi chabaudi","PCHAS_10_v3:892,778..895,246(-)","glycine--tRNA ligase, putative","Previous IDs: PC000463.00.0;PC000655.01.0;PC000808.04.0;PCAS_102260;PCHAS_102360","10","44","OG5_127272","0","1","1","1","null","null","2469"
"PCHAS_1023700","PCHAS_1023700.1","P. chabaudi chabaudi","PCHAS_10_v3:896,167..896,886(-)","DNL-type zinc finger protein, putative","Previous IDs: PC000462.00.0;PCAS_102270;PCHAS_102370","10","44","OG5_128569","0","1","1","1","null","null","720"
"PCHAS_1023800","PCHAS_1023800.1","P. chabaudi chabaudi","PCHAS_10_v3:897,431..900,862(+)","myosin-specific chaperone UNC, putative","Previous IDs: PC000060.05.0;PC000852.02.0;PC401251.00.0;PCAS_102280;PCHAS_102380","10","44","OG5_141175","0","1","1","1","null","null","3432"
"PCHAS_1023900","PCHAS_1023900.1","P. chabaudi chabaudi","PCHAS_10_v3:903,452..907,264(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000282.00.0;PC300376.00.0;PC404422.00.0;PCAS_102290;PCHAS_102390","10","46","OG5_145121","0","1","1","1","null","null","3813"
"PCHAS_1024000","PCHAS_1024000.1","P. chabaudi chabaudi","PCHAS_10_v3:908,408..909,884(+)","splicing factor 3B subunit 4, putative","Previous IDs: PC000516.02.0;PC302382.00.0;PCAS_102300;PCHAS_102400","10","44","OG5_128231","0","3","3","1","null","null","1188"
"PCHAS_1024100","PCHAS_1024100.1","P. chabaudi chabaudi","PCHAS_10_v3:911,264..912,943(+)","cleavage and polyadenylation specificity factor subunit 4, putative","Previous IDs: PC000515.02.0;PC001413.02.0;PCAS_102310;PCHAS_102410","10","44","OG5_137714","0","1","1","1","null","null","1680"
"PCHAS_1024200","PCHAS_1024200.1","P. chabaudi chabaudi","PCHAS_10_v3:913,916..915,712(+)","glutathione reductase, putative","Previous IDs: PC000998.02.0;PC001414.02.0;PCAS_102320;PCHAS_102420","10","96","OG5_126785","1","3","3","1","null","null","1494"
"PCHAS_1024300","PCHAS_1024300.1","P. chabaudi chabaudi","PCHAS_10_v3:916,384..917,796(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000999.02.0;PCAS_102330;PCHAS_102430","10","44","OG5_162906","0","1","1","1","null","null","1413"
"PCHAS_1024400","PCHAS_1024400.1","P. chabaudi chabaudi","PCHAS_10_v3:918,936..921,966(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC001000.02.0;PCAS_102340;PCHAS_102440","10","44","OG5_166359","0","12","12","1","null","null","1416"
"PCHAS_1024500","PCHAS_1024500.1","P. chabaudi chabaudi","PCHAS_10_v3:922,782..923,426(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000573.04.0;PCAS_102350;PCHAS_102450","10","43","OG5_173856","0","1","1","1","null","null","645"
"PCHAS_1024600","PCHAS_1024600.1","P. chabaudi chabaudi","PCHAS_10_v3:925,062..930,911(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000112.04.0;PC405679.00.0;PCAS_102360;PCHAS_102460","10","47","OG5_158524","0","4","4","1","null","null","5463"
"PCHAS_1024700","PCHAS_1024700.1","P. chabaudi chabaudi","PCHAS_10_v3:931,627..932,402(-)","glutathione S-transferase, putative","Previous IDs: PC000014.01.0;PC302243.00.0;PCAS_102370;PCHAS_102470","10","20","OG5_128352","0","2","2","1","null","null","618"
"PCHAS_1024800","PCHAS_1024800.1","P. chabaudi chabaudi","PCHAS_10_v3:934,508..936,651(+)","thioredoxin-like protein, putative","Previous IDs: PC000292.02.0;PC300481.00.0;PC302033.00.0;PCAS_102380;PCHAS_102480","10","43","OG5_160404","0","3","3","1","null","null","1881"
"PCHAS_1024900","PCHAS_1024900.1","P. chabaudi chabaudi","PCHAS_10_v3:937,463..940,477(-)","ATP-dependent rRNA helicase SPB4, putative","Previous IDs: PC000688.03.0;PC000921.02.0;PCAS_102390;PCHAS_102490","10","45","OG5_145124","0","1","1","1","null","null","3015"
"PCHAS_1025000","PCHAS_1025000.1","P. chabaudi chabaudi","PCHAS_10_v3:943,552..946,845(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC300141.00.0;PCAS_102400;PCHAS_102500","10","46","OG5_167244","0","1","1","1","null","null","3294"
"PCHAS_1025100","PCHAS_1025100.1","P. chabaudi chabaudi","PCHAS_10_v3:947,799..950,645(+)","ATP-dependent RNA helicase DBP4, putative","Previous IDs: PC000372.05.0;PCAS_102410;PCHAS_102510","10","44","OG5_128229","0","2","2","1","null","null","2595"
"PCHAS_1025110","PCHAS_1025110.1","P. chabaudi chabaudi","PCHAS_10_v3:951,675..951,978(+)","signal recognition particle RNA","Previous IDs: PCHAS_102511","10","0","PCHAS_1025110","0","1","1","1","null","null","304"
"PCHAS_1025112","PCHAS_1025112.1","P. chabaudi chabaudi","PCHAS_10_v3:953,044..953,162(-)","5S ribosomal RNA","null","10","0","PCHAS_1025112","0","1","1","1","null","null","119"
"PCHAS_1025114","PCHAS_1025114.1","P. chabaudi chabaudi","PCHAS_10_v3:953,534..953,652(-)","5S ribosomal RNA","null","10","0","PCHAS_1025114","0","1","1","1","null","null","119"
"PCHAS_1025116","PCHAS_1025116.1","P. chabaudi chabaudi","PCHAS_10_v3:953,961..954,079(-)","5S ribosomal RNA","null","10","0","PCHAS_1025116","0","1","1","1","null","null","119"
"PCHAS_1025120","PCHAS_1025120.1","P. chabaudi chabaudi","PCHAS_10_v3:955,337..955,408(-)","tRNA Proline","Previous IDs: PCHAS_102512","10","0","PCHAS_1025120","0","1","1","1","null","null","72"
"PCHAS_1025200","PCHAS_1025200.1","P. chabaudi chabaudi","PCHAS_10_v3:956,564..956,974(-)","calmodulin, putative","Previous IDs: PC000857.00.0;PC300755.00.0;PCAS_102420;PCHAS_102520","10","44","OG5_173857","0","1","1","1","null","null","411"
"PCHAS_1025300","PCHAS_1025300.1","P. chabaudi chabaudi","PCHAS_10_v3:957,368..958,314(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000387.04.0;PC301088.00.0;PCAS_102430;PCHAS_102530","10","43","OG5_184646","0","3","3","1","null","null","495"
"PCHAS_1025400","PCHAS_1025400.1","P. chabaudi chabaudi","PCHAS_10_v3:960,318..970,061(+)","liver specific protein 1, putative","Previous IDs: PC000125.01.0;PC000155.03.0;PC000157.02.0;PC000539.03.0;PC000600.00.0;PC000856.03.0;PC300841.00.0;PCAS_102440;PCHAS_102540","10","47","OG5_167245","0","1","1","1","null","null","9744"
"PCHAS_1025500","PCHAS_1025500.1","P. chabaudi chabaudi","PCHAS_10_v3:971,262..973,246(+)","ubiquitin fusion degradation protein 1, putative","Previous IDs: PC000154.03.0;PCAS_102450;PCHAS_102550","10","44","OG5_127577","0","10","10","1","null","null","837"
